98.7928,675.839,3245.22,1059.73,3312.09,2682.35,1904.05,-12.16,22.2841,26.5738,22.16,37.7159,3.42617
102.828,633.046,3333.87,1168.85,3395.23,2835.79,1915.97,-9.07109,21.6763,27.4855,19.0711,38.3237,2.5145
107.168,600.688,3426.76,1289.92,3470.99,3003.3,1925.11,-5.85557,21.1497,28.2755,15.8556,38.8503,1.72448
111.848,581.23,3524.66,1423.89,3537.25,3186.21,1931.55,-2.46993,20.7065,28.9403,12.4699,39.2935,1.0597
116.931,577.91,3628.97,1572.43,3591.4,3386.91,1935.51,1.15943,20.3533,29.4701,8.84057,39.6467,0.529891
122.564,595.754,3742.84,1739.57,3629.88,3610.99,1937.34,5.18223,20.1046,29.8432,4.81777,39.8954,0.15685
129.288,646.974,3877.54,1940.94,3645.9,3879.71,1937.69,10.0802,20.0001,29.9999,-0.0801782,39.9999,0.00012175
134.879,715.097,3989.53,2108.44,3633.69,4103.2,1937.93,14.3207,20.0841,29.8739,-4.32068,39.9159,0.126134
139.796,795.085,4088.77,2254.6,3602.87,4298.98,1939.28,18.2513,20.3075,29.5387,-8.25127,39.6925,0.46131
144.266,885.071,4180.27,2385.54,3557.59,4475.67,1942.43,22.0555,20.6598,29.0102,-12.0555,39.3402,0.989766
148.366,983.088,4265.9,2503.09,3500.57,4636.04,1947.88,25.805,21.1422,28.2867,-15.805,38.8578,1.71332
152.136,1087.31,4346.72,2608.07,3434.04,4781.43,1956,29.5398,21.762,27.357,-19.5398,38.238,2.64301
155.602,1196.09,4423.41,2700.98,3359.93,4912.68,1967.07,33.2857,22.5315,26.2027,-23.2857,37.4685,3.79731
158.784,1307.92,4496.53,2782.23,3279.92,5030.49,1981.28,37.0605,23.4681,24.7978,-27.0605,36.5319,5.20216
161.701,1421.5,4566.56,2852.21,3195.51,5135.49,1998.81,40.8764,24.5948,23.1078,-30.8764,35.4052,6.89222
164.371,1535.73,4633.96,2911.34,3107.98,5228.32,2019.8,44.7403,25.9422,21.0868,-34.7403,34.0578,8.91323
166.814,1649.72,4699.2,2960.03,3018.42,5309.63,2044.39,48.654,27.5508,18.6738,-38.654,32.4492,11.3262
168.999,1760.21,4761.38,2997.9,2929.79,5378.59,2072.08,52.5197,29.4271,15.8594,-42.5197,30.5729,14.1406
170.919,1864.52,4819.82,3025.4,2844.67,5435.31,2102.17,56.2334,31.5646,12.6532,-46.2334,28.4354,17.3468
172.613,1962.77,4875.28,3043.88,2763.36,5481.52,2134.52,59.7646,33.9973,9.00405,-49.7646,26.0027,20.996
174.114,2054.89,4928.27,3054.4,2686.25,5518.54,2169,63.0529,36.758,4.86295,-53.0529,23.242,25.137
175.446,2140.9,4979.26,3057.89,2613.57,5547.52,2205.5,66.0134,39.8827,0.175944,-56.0134,20.1173,29.8241
176.635,2220.91,5028.7,3055.07,2545.44,5569.42,2243.99,68.5296,43.4096,-5.11433,-58.5296,16.5904,35.1143
177.702,2295.06,5077.03,3046.56,2481.96,5585.08,2284.49,70.4425,47.3768,-11.0652,-60.4425,12.6232,41.0652
178.665,2363.5,5124.72,3032.81,2423.15,5595.17,2327.14,71.536,51.8174,-17.726,-61.536,8.18264,47.726
179.542,2426.29,5172.24,3014.13,2369.12,5600.25,2372.12,71.5195,56.7467,-25.1201,-61.5195,3.25329,55.1201
180.346,2483.36,5220.01,2990.75,2320.11,5600.76,2419.63,70.0141,62.1359,-33.2039,-60.0141,-2.13594,63.2039
181.089,2534.26,5268.27,2962.95,2276.63,5597.09,2469.73,66.5759,67.8576,-41.7864,-56.5759,-7.85763,71.7864
